v2	V(vout)
0.000000000000000e+00	1.113506e-02
1.000000000000000e-03	1.114968e-02
2.000000000000000e-03	1.116507e-02
3.000000000000000e-03	1.118066e-02
4.000000000000000e-03	1.119665e-02
5.000000000000000e-03	1.121306e-02
6.000000000000000e-03	1.122989e-02
7.000000000000000e-03	1.124717e-02
8.000000000000000e-03	1.126489e-02
9.000000000000001e-03	1.128308e-02
1.000000000000000e-02	1.130174e-02
1.100000000000000e-02	1.132090e-02
1.200000000000000e-02	1.134055e-02
1.300000000000000e-02	1.136073e-02
1.400000000000001e-02	1.138143e-02
1.500000000000001e-02	1.140268e-02
1.600000000000001e-02	1.142449e-02
1.700000000000001e-02	1.144688e-02
1.800000000000001e-02	1.146986e-02
1.900000000000001e-02	1.149345e-02
2.000000000000001e-02	1.151766e-02
2.100000000000001e-02	1.154252e-02
2.200000000000001e-02	1.156805e-02
2.300000000000001e-02	1.159425e-02
2.400000000000001e-02	1.162115e-02
2.500000000000002e-02	1.164878e-02
2.600000000000002e-02	1.167714e-02
2.700000000000002e-02	1.170627e-02
2.800000000000002e-02	1.173618e-02
2.900000000000002e-02	1.176689e-02
3.000000000000002e-02	1.179844e-02
3.100000000000002e-02	1.183084e-02
3.200000000000002e-02	1.186412e-02
3.300000000000002e-02	1.189830e-02
3.400000000000002e-02	1.193342e-02
3.500000000000002e-02	1.196949e-02
3.600000000000003e-02	1.200655e-02
3.700000000000003e-02	1.204462e-02
3.800000000000003e-02	1.208374e-02
3.900000000000003e-02	1.212393e-02
4.000000000000003e-02	1.216523e-02
4.100000000000003e-02	1.220767e-02
4.200000000000003e-02	1.225129e-02
4.300000000000003e-02	1.229612e-02
4.400000000000003e-02	1.234219e-02
4.500000000000003e-02	1.238955e-02
4.600000000000003e-02	1.243823e-02
4.700000000000003e-02	1.248828e-02
4.800000000000004e-02	1.253974e-02
4.900000000000004e-02	1.259264e-02
5.000000000000004e-02	1.264704e-02
5.100000000000004e-02	1.270298e-02
5.200000000000004e-02	1.276051e-02
5.300000000000004e-02	1.281967e-02
5.400000000000004e-02	1.288053e-02
5.500000000000004e-02	1.294313e-02
5.600000000000004e-02	1.300753e-02
5.700000000000004e-02	1.307378e-02
5.800000000000004e-02	1.314195e-02
5.900000000000005e-02	1.321210e-02
6.000000000000005e-02	1.328429e-02
6.100000000000005e-02	1.335858e-02
6.200000000000005e-02	1.343506e-02
6.300000000000004e-02	1.351378e-02
6.400000000000004e-02	1.359482e-02
6.500000000000004e-02	1.367827e-02
6.600000000000004e-02	1.376420e-02
6.700000000000005e-02	1.385268e-02
6.800000000000005e-02	1.394382e-02
6.900000000000005e-02	1.403770e-02
7.000000000000005e-02	1.413442e-02
7.100000000000005e-02	1.423407e-02
7.200000000000005e-02	1.433675e-02
7.300000000000005e-02	1.444257e-02
7.400000000000005e-02	1.455165e-02
7.500000000000005e-02	1.466409e-02
7.600000000000005e-02	1.478001e-02
7.700000000000005e-02	1.489955e-02
