v2	Ix(1:DRAIN)
0.000000000000000e+00	8.464002e-10
1.000000000000000e-02	8.474467e-10
2.000000000000000e-02	8.486231e-10
3.000000000000000e-02	8.499457e-10
4.000000000000000e-02	8.514331e-10
5.000000000000000e-02	8.531065e-10
6.000000000000000e-02	8.549895e-10
7.000000000000001e-02	8.571090e-10
8.000000000000000e-02	8.594955e-10
9.000000000000000e-02	8.621833e-10
9.999999999999999e-02	8.652113e-10
1.100000000000000e-01	8.686236e-10
1.200000000000000e-01	8.724700e-10
1.300000000000000e-01	8.768070e-10
1.400000000000000e-01	8.816983e-10
1.500000000000000e-01	8.872164e-10
1.600000000000000e-01	8.934429e-10
1.700000000000000e-01	9.004707e-10
1.800000000000000e-01	9.084048e-10
1.900000000000000e-01	9.173641e-10
2.000000000000000e-01	9.274834e-10
2.100000000000000e-01	9.389153e-10
2.200000000000001e-01	9.518328e-10
2.300000000000001e-01	9.664320e-10
2.400000000000001e-01	9.829353e-10
2.500000000000001e-01	1.001594e-09
2.600000000000001e-01	1.022694e-09
2.700000000000001e-01	1.046559e-09
2.800000000000001e-01	1.073556e-09
2.900000000000001e-01	1.104101e-09
3.000000000000001e-01	1.138665e-09
3.100000000000001e-01	1.177784e-09
3.200000000000001e-01	1.222063e-09
3.300000000000001e-01	1.272192e-09
3.400000000000001e-01	1.328949e-09
3.500000000000001e-01	1.393219e-09
3.600000000000002e-01	1.466007e-09
3.700000000000002e-01	1.548448e-09
3.800000000000002e-01	1.641834e-09
3.900000000000002e-01	1.747628e-09
4.000000000000002e-01	1.867488e-09
4.100000000000002e-01	2.003296e-09
4.200000000000002e-01	2.157183e-09
4.300000000000002e-01	2.331568e-09
4.400000000000002e-01	2.529188e-09
4.500000000000002e-01	2.753150e-09
4.600000000000002e-01	3.006969e-09
4.700000000000003e-01	3.294629e-09
4.800000000000003e-01	3.620640e-09
4.900000000000003e-01	3.990105e-09
5.000000000000002e-01	4.408800e-09
5.100000000000002e-01	4.883255e-09
5.200000000000002e-01	5.420850e-09
5.300000000000002e-01	6.029918e-09
5.400000000000003e-01	6.719868e-09
5.500000000000003e-01	7.501306e-09
5.600000000000003e-01	8.386182e-09
5.700000000000003e-01	9.387946e-09
5.800000000000003e-01	1.052171e-08
5.900000000000003e-01	1.180445e-08
6.000000000000003e-01	1.325516e-08
6.100000000000003e-01	1.489514e-08
6.200000000000003e-01	1.674812e-08
6.300000000000003e-01	1.884058e-08
6.400000000000003e-01	2.120194e-08
6.500000000000004e-01	2.386482e-08
6.600000000000004e-01	2.686527e-08
6.700000000000004e-01	3.024302e-08
6.800000000000004e-01	3.404169e-08
6.900000000000004e-01	3.830900e-08
7.000000000000004e-01	4.309693e-08
7.100000000000004e-01	4.846186e-08
7.200000000000004e-01	5.446465e-08
7.300000000000004e-01	6.117068e-08
7.400000000000004e-01	6.864978e-08
7.500000000000004e-01	7.697614e-08
7.600000000000005e-01	8.622818e-08
7.700000000000005e-01	9.648819e-08
7.800000000000005e-01	1.078421e-07
7.900000000000005e-01	1.203791e-07
8.000000000000005e-01	1.341910e-07
8.100000000000005e-01	1.493719e-07
8.200000000000005e-01	1.660178e-07
8.300000000000005e-01	1.842257e-07
8.400000000000005e-01	2.040932e-07
8.500000000000005e-01	2.257180e-07
8.600000000000005e-01	2.491973e-07
8.700000000000006e-01	2.746275e-07
8.800000000000006e-01	3.021032e-07
8.900000000000006e-01	3.317177e-07
9.000000000000006e-01	3.635617e-07
9.100000000000006e-01	3.977234e-07
9.200000000000006e-01	4.342886e-07
9.300000000000006e-01	4.733399e-07
9.400000000000006e-01	5.149570e-07
9.500000000000006e-01	5.592163e-07
9.600000000000006e-01	6.061911e-07
9.700000000000006e-01	6.559513e-07
9.800000000000006e-01	7.085637e-07
9.900000000000007e-01	7.640918e-07
1.000000000000001e+00	8.225958e-07
1.010000000000001e+00	8.841332e-07
1.020000000000001e+00	9.487582e-07
1.030000000000001e+00	1.016522e-06
1.040000000000001e+00	1.087473e-06
1.050000000000001e+00	1.161658e-06
1.060000000000001e+00	1.239119e-06
1.070000000000001e+00	1.319897e-06
1.080000000000001e+00	1.404030e-06
1.090000000000001e+00	1.491555e-06
1.100000000000001e+00	1.582506e-06
1.110000000000001e+00	1.676914e-06
1.120000000000001e+00	1.774810e-06
1.130000000000001e+00	1.876221e-06
1.140000000000001e+00	1.981173e-06
1.150000000000001e+00	2.089693e-06
1.160000000000001e+00	2.201801e-06
1.170000000000001e+00	2.317521e-06
1.180000000000001e+00	2.436872e-06
1.190000000000001e+00	2.559873e-06
1.200000000000001e+00	2.686542e-06
1.210000000000001e+00	2.816895e-06
1.220000000000001e+00	2.950948e-06
1.230000000000001e+00	3.088714e-06
1.240000000000001e+00	3.230206e-06
1.250000000000001e+00	3.375438e-06
1.260000000000001e+00	3.524419e-06
1.270000000000001e+00	3.677161e-06
1.280000000000001e+00	3.833673e-06
1.290000000000001e+00	3.993965e-06
1.300000000000001e+00	4.158043e-06
1.310000000000001e+00	4.325916e-06
1.320000000000001e+00	4.497589e-06
1.330000000000001e+00	4.673070e-06
1.340000000000001e+00	4.852364e-06
1.350000000000001e+00	5.035475e-06
1.360000000000001e+00	5.222409e-06
1.370000000000001e+00	5.413168e-06
1.380000000000001e+00	5.607757e-06
1.390000000000001e+00	5.806179e-06
1.400000000000001e+00	6.008435e-06
1.410000000000001e+00	6.214528e-06
1.420000000000001e+00	6.424460e-06
1.430000000000001e+00	6.638232e-06
1.440000000000001e+00	6.855845e-06
1.450000000000001e+00	7.077300e-06
1.460000000000001e+00	7.302597e-06
1.470000000000001e+00	7.531737e-06
1.480000000000001e+00	7.764717e-06
1.490000000000001e+00	8.001541e-06
1.500000000000001e+00	8.242203e-06
1.510000000000001e+00	8.486706e-06
1.520000000000001e+00	8.735047e-06
1.530000000000001e+00	8.987225e-06
1.540000000000001e+00	9.243237e-06
1.550000000000001e+00	9.503083e-06
1.560000000000001e+00	9.766760e-06
1.570000000000001e+00	1.003427e-05
1.580000000000001e+00	1.030560e-05
1.590000000000001e+00	1.058075e-05
1.600000000000001e+00	1.085973e-05
1.610000000000001e+00	1.114252e-05
1.620000000000001e+00	1.142913e-05
1.630000000000001e+00	1.171955e-05
1.640000000000001e+00	1.201378e-05
1.650000000000001e+00	1.231181e-05
1.660000000000001e+00	1.261365e-05
1.670000000000001e+00	1.291928e-05
1.680000000000001e+00	1.322871e-05
1.690000000000001e+00	1.354192e-05
1.700000000000001e+00	1.385892e-05
1.710000000000001e+00	1.417970e-05
1.720000000000001e+00	1.450426e-05
1.730000000000001e+00	1.483260e-05
1.740000000000001e+00	1.516470e-05
1.750000000000001e+00	1.550057e-05
1.760000000000001e+00	1.584019e-05
1.770000000000001e+00	1.618358e-05
1.780000000000001e+00	1.653071e-05
1.790000000000001e+00	1.688159e-05
1.800000000000000e+00	1.723621e-05
