v2	V(vout)
0.000000000000000e+00	3.198801e-07
5.000000000000000e-02	7.077015e-07
1.000000000000000e-01	3.884321e-06
1.500000000000000e-01	1.414333e-05
2.000000000000000e-01	5.264768e-05
2.500000000000000e-01	1.992620e-04
3.000000000000000e-01	7.619204e-04
3.500000000000000e-01	2.862126e-03
4.000000000000000e-01	9.833232e-03
4.500000000000000e-01	2.706059e-02
4.999999999999999e-01	5.524935e-02
5.499999999999999e-01	8.929717e-02
6.000000000000000e-01	1.254315e-01
6.500000000000000e-01	1.622650e-01
7.000000000000001e-01	1.994468e-01
7.500000000000001e-01	2.368483e-01
8.000000000000002e-01	2.744378e-01
8.500000000000002e-01	3.121985e-01
9.000000000000002e-01	3.501181e-01
9.500000000000003e-01	3.881866e-01
1.000000000000000e+00	4.263948e-01
1.050000000000000e+00	4.647346e-01
1.100000000000000e+00	5.031988e-01
1.150000000000000e+00	5.417806e-01
1.200000000000000e+00	5.804740e-01
1.250000000000000e+00	6.192732e-01
1.300000000000000e+00	6.581733e-01
1.350000000000001e+00	6.971695e-01
1.400000000000001e+00	7.362573e-01
1.450000000000001e+00	7.754327e-01
1.500000000000001e+00	8.146920e-01
1.550000000000001e+00	8.540316e-01
1.600000000000001e+00	8.934484e-01
1.650000000000001e+00	9.329391e-01
1.700000000000001e+00	9.725010e-01
1.750000000000001e+00	1.012131e+00
1.800000000000000e+00	1.051828e+00
