time,V(clk_amp),V(clk_double),V(clk_load),V(clk_sample),V(comp_out)
0,0,0,0,0,1.00515E-09
2E-18,0,0,0,0.06,1.00515E-09
3E-18,0,0,0,0.09,1.00515E-09
5E-18,0,0,0,0.15,1.00515E-09
6E-18,0,0,0,0.18,1.00515E-09
7E-18,0,0,0,0.21,1.00515E-09
9E-18,0,0,0,0.27,1.00515E-09
1E-17,0,0,0,0.3,1.00515E-09
3.7E-16,0,0,0,3,1.00523E-09
5.5E-16,0,0,0,3,1.00526E-09
2.1115E-13,0,0,0,3,1.02301E-09
4.2175E-13,0,0,0,3,1.03862E-09
6.3235E-13,0,0,0,3,1.05208E-09
8.4295E-13,0,0,0,3,1.06341E-09
1.05355E-12,0,0,0,3,1.07259E-09
1.26415E-12,0,0,0,3,1.07963E-09
1.47475E-12,0,0,0,3,1.08453E-09
1.65907E-12,0,0,0,3,1.08878E-09
2.02771E-12,0,0,0,3,1.09267E-09
2.76499E-12,0,0,0,3,1.09622E-09
2.94931E-12,0,0,0,3,1.09617E-09
3.31795E-12,0,0,0,3,1.09454E-09
4.05523E-12,0,0,0,3,1.08958E-09
5.52979E-12,0,0,0,3,1.07744E-09
8.47891E-12,0,0,0,3,1.05546E-09
1.43772E-11,0,0,0,3,1.02771E-09
2.61736E-11,0,0,0,3,1.00458E-09
4.40406E-11,0,0,0,3,9.96234E-10
6.7735E-11,0,0,0,3,9.96781E-10
9.85471E-11,0,0,0,3,9.99371E-10
1.3678E-10,0,0,0,3,1.00173E-09
1.85709E-10,0,0,0,3,1.00345E-09
2.53958E-10,0,0,0,3,1.0045E-09
3.54299E-10,0,0,0,3,1.00499E-09
5.14123E-10,0,0,0,3,1.00513E-09
7.35336E-10,0,0,0,3,1.00515E-09
9.85059E-10,0,0,0,3,1.00515E-09
1.27571E-09,0,0,0,3,1.00515E-09
1.69292E-09,0,0,0,3,1.00515E-09
2.37099E-09,0,0,0,3,1.00515E-09
3.15739E-09,0,0,0,3,1.00515E-09
3.3027E-09,0,0,0,3,1.00515E-09
3.33902E-09,0,0,0,3,1.00515E-09
3.3481E-09,0,0,0,3,1.00515E-09
3.37081E-09,0,0,0,3,1.00515E-09
3.39805E-09,0,0,0,3,1.00515E-09
3.43438E-09,0,0,0,3,1.00515E-09
3.50703E-09,0,0,0,3,1.00515E-09
