time	V(clk_amp)	V(clk_double)	V(clk_load)	V(clk_sample)	V(comp_out)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.005148e-09
2.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	6.000000e-02	1.005148e-09
3.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	9.000000e-02	1.005148e-09
5.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	1.500000e-01	1.005148e-09
6.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	1.800000e-01	1.005148e-09
7.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	2.100000e-01	1.005148e-09
9.000000000000000e-18	0.000000e+00	0.000000e+00	0.000000e+00	2.700000e-01	1.005148e-09
9.999999999999999e-18	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e-01	1.005148e-09
3.699999999999999e-16	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.005226e-09
5.500000000000000e-16	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.005255e-09
2.111500000000001e-13	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.023006e-09
4.217500000000001e-13	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.038615e-09
6.323500000000002e-13	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.052082e-09
8.429500000000003e-13	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.063408e-09
1.053550000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.072592e-09
1.264150000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.079634e-09
1.474750000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.084534e-09
1.659070000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.088784e-09
2.027710000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.092673e-09
2.764990000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.096224e-09
2.949310000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.096167e-09
3.317950000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.094540e-09
4.055230000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.089578e-09
5.529790000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.077438e-09
8.478910000000000e-12	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.055456e-09
1.437715000000000e-11	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.027710e-09
2.617363000000000e-11	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e+00	1.004578e-09
