time,V(vinp),V(vout),V(vout_inv)
0,0.5,1.00514E-09,1.799999
1E-17,0.50108,4.3958E-07,1.8
2E-17,0.50216,8.78076E-07,1.800001
1E-15,0.608,4.3343E-05,1.800081
1.064E-15,0.608,4.33313E-05,1.800081
1.192E-15,0.608,4.3308E-05,1.800081
1.988E-14,0.608,4.02151E-05,1.800084
3.8568E-14,0.608,3.74126E-05,1.800087
5.7256E-14,0.608,3.49005E-05,1.80009
7.5944E-14,0.608,3.26788E-05,1.800093
9.4632E-14,0.608,3.07475E-05,1.800096
1.1332E-13,0.608,2.91065E-05,1.800099
1.32008E-13,0.608,2.7756E-05,1.800102
2.6308E-13,0.608,2.06996E-05,1.800122
5.25224E-13,0.608,1.4778E-05,1.800159
1.04951E-12,0.608,1.09457E-05,1.800222
2.09809E-12,0.608,7.71529E-06,1.800315
4.19524E-12,0.608,3.98389E-06,1.80042
8.38954E-12,0.608,8.06472E-07,1.800483
1.67782E-11,0.608,-6.56864E-07,1.800452
2.94237E-11,0.608,-6.29007E-07,1.800362
5.01906E-11,0.608,-4.4877E-07,1.800241
8.09681E-11,0.608,-2.62674E-06,1.799468
1.29796E-10,0.608,-1.49302E-05,1.794192
1.78624E-10,0.608,-3.90139E-05,1.779246
2.27452E-10,0.608,-9.13185E-05,1.744359
2.76281E-10,0.608,-0.000218941,1.667705
3.25109E-10,0.608,-0.000459432,1.522597
3.73937E-10,0.608,-0.00057071,1.302165
4.22765E-10,0.608,0.04366655,1.028344
4.5777E-10,0.608,0.5676512,0.8320189
4.84378E-10,0.608,1.479297,0.696339
4.98957E-10,0.608,1.785972,0.609176
5.15836E-10,0.608,1.798786,0.4903764
5.35459E-10,0.608,1.79864,0.3605524
5.66916E-10,0.608,1.800258,0.2094235
6.10242E-10,0.608,1.799732,0.1141134
6.4989E-10,0.608,1.799949,0.09481803
6.93153E-10,0.608,1.799955,0.09206823
7.37398E-10,0.608,1.799969,0.08878236
7.86226E-10,0.608,1.799966,0.08640671
8.35054E-10,0.608,1.79997,0.08449058
8.83883E-10,0.608,1.799969,0.08299885
9.32711E-10,0.608,1.799971,0.08176191
9.81539E-10,0.608,1.799971,0.08072265
1.03037E-09,0.608,1.799973,0.07982143
1.0792E-09,0.608,1.799973,0.07902888
1.12802E-09,0.608,1.799973,0.07831963
1.17685E-09,0.608,1.799974,0.07767861
1.22568E-09,0.608,1.799974,0.07709353
1.27451E-09,0.608,1.799974,0.07655617
1.32334E-09,0.608,1.799975,0.07605986
1.37216E-09,0.608,1.799975,0.07559972
1.42099E-09,0.608,1.799976,0.07517169
1.46982E-09,0.608,1.799976,0.07477257
1.51865E-09,0.608,1.799977,0.07439966
1.56748E-09,0.608,1.799977,0.07405067
1.6163E-09,0.608,1.799977,0.07372364
1.66513E-09,0.608,1.799978,0.07341684
1.71396E-09,0.608,1.799978,0.07312874
1.76279E-09,0.608,1.799978,0.07285795
1.81162E-09,0.608,1.799979,0.07260326
1.86045E-09,0.608,1.799979,0.07236353
1.90927E-09,0.608,1.799979,0.07213774
1.9581E-09,0.608,1.799979,0.07192495
2.00693E-09,0.608,1.79998,0.07172433
2.05576E-09,0.608,1.79998,0.07153503
2.10459E-09,0.608,1.79998,0.07135637
2.15341E-09,0.608,1.799981,0.07118763
2.20224E-09,0.608,1.799981,0.07102822
2.25107E-09,0.608,1.799981,0.07087751
2.2999E-09,0.608,1.799981,0.07073501
2.34873E-09,0.608,1.799982,0.07060017
2.39755E-09,0.608,1.799982,0.07047257
2.44638E-09,0.608,1.799982,0.0703517
2.49521E-09,0.608,1.799983,0.07023723
2.54404E-09,0.608,1.799983,0.07012872
2.59287E-09,0.608,1.799983,0.07002586
2.6417E-09,0.608,1.799983,0.06992828
2.69052E-09,0.608,1.799984,0.06983569
2.73935E-09,0.608,1.799984,0.06974779
2.78818E-09,0.608,1.799984,0.06966433
2.83701E-09,0.608,1.799984,0.06958502
2.88584E-09,0.608,1.799984,0.06950966
2.93466E-09,0.608,1.799984,0.06943798
2.98349E-09,0.608,1.799985,0.06936982
3.03232E-09,0.608,1.799985,0.06930494
3.08115E-09,0.608,1.799985,0.06924319
3.12998E-09,0.608,1.799985,0.06918436
3.1788E-09,0.608,1.799986,0.06912833
3.22763E-09,0.608,1.799986,0.06907493
3.27646E-09,0.608,1.799986,0.06902401
3.32529E-09,0.608,1.799986,0.06897543
3.37412E-09,0.608,1.799986,0.06892908
3.42295E-09,0.608,1.799986,0.06888482
3.47177E-09,0.608,1.799987,0.06884257
3.5206E-09,0.608,1.799987,0.06880219
3.56943E-09,0.608,1.799987,0.0687636
3.61826E-09,0.608,1.799987,0.0687267
3.66709E-09,0.608,1.799987,0.0686914
3.71591E-09,0.608,1.799987,0.06865763
3.76474E-09,0.608,1.799988,0.0686253
3.81357E-09,0.608,1.799988,0.06859434
3.8624E-09,0.608,1.799988,0.06856468
3.91123E-09,0.608,1.799988,0.06853624
