time,V(vout)
0,1.00514E-09
5.85937E-18,2.58001E-07
1.17187E-17,5.14985E-07
1E-15,4.33426E-05
1.075E-15,4.3329E-05
1.225E-15,4.33016E-05
2.3125E-14,3.97455E-05
4.5025E-14,3.65585E-05
6.6925E-14,3.37405E-05
8.8825E-14,3.12916E-05
1.10725E-13,2.92118E-05
1.32625E-13,2.7501E-05
1.54525E-13,2.61593E-05
3.08125E-13,1.91704E-05
6.15325E-13,1.37163E-05
1.20126E-12,1.02207E-05
1.7872E-12,8.27101E-06
2.37314E-12,6.67292E-06
2.95907E-12,5.35227E-06
3.54501E-12,4.26233E-06
4.13095E-12,3.35923E-06
4.71689E-12,2.61004E-06
5.30282E-12,1.98763E-06
5.88876E-12,1.47022E-06
6.4747E-12,1.04002E-06
7.06064E-12,6.82464E-07
7.64657E-12,3.85579E-07
8.23251E-12,1.39472E-07
8.81845E-12,-6.4059E-08
9.40439E-12,-2.31836E-07
9.99032E-12,-3.6955E-07
1.05763E-11,-4.81962E-07
1.11622E-11,-5.7306E-07
1.17481E-11,-6.46198E-07
1.23341E-11,-7.04195E-07
1.292E-11,-7.49429E-07
1.35059E-11,-7.83907E-07
1.40919E-11,-8.09326E-07
1.46778E-11,-8.27119E-07
1.52638E-11,-8.38503E-07
1.58497E-11,-8.44508E-07
1.64356E-11,-8.46008E-07
1.70216E-11,-8.43744E-07
1.76075E-11,-8.38347E-07
1.81934E-11,-8.30352E-07
1.87794E-11,-8.20215E-07
1.93653E-11,-8.08324E-07
1.99513E-11,-7.95008E-07
2.05372E-11,-7.80549E-07
2.11231E-11,-7.65188E-07
2.17091E-11,-7.49128E-07
2.2295E-11,-7.32547E-07
2.28809E-11,-7.15592E-07
2.34669E-11,-6.98394E-07
2.40528E-11,-6.81063E-07
2.46388E-11,-6.63694E-07
2.52247E-11,-6.46366E-07
2.58106E-11,-6.29148E-07
2.63966E-11,-6.12097E-07
2.75684E-11,-5.78676E-07
2.87403E-11,-5.46385E-07
2.99122E-11,-5.15403E-07
3.167E-11,-4.7165E-07
3.34278E-11,-4.3142E-07
3.48508E-11,-4.0153E-07
3.62738E-11,-3.74274E-07
3.76968E-11,-3.49652E-07
3.91198E-11,-3.27664E-07
4.05428E-11,-3.0831E-07
4.19658E-11,-2.91591E-07
4.33888E-11,-2.77506E-07
4.64859E-11,-2.55263E-07
4.9583E-11,-2.44433E-07
5.26801E-11,-2.45014E-07
5.57772E-11,-2.57008E-07
5.88743E-11,-2.80414E-07
6.19714E-11,-3.15232E-07
6.50684E-11,-3.61462E-07
7.11789E-11,-3.8703E-07
7.72894E-11,-6.20881E-07
8.33999E-11,-1.06302E-06
8.95104E-11,-1.71343E-06
9.56209E-11,-2.57214E-06
1.01731E-10,-3.63912E-06
1.07842E-10,-4.91439E-06
1.13534E-10,-6.58555E-06
1.19226E-10,-8.41032E-06
1.24918E-10,-1.03887E-05
1.3061E-10,-1.25207E-05
1.36302E-10,-1.48064E-05
1.41994E-10,-1.72457E-05
1.47686E-10,-1.98385E-05
1.55721E-10,-2.33028E-05
1.63757E-10,-2.70334E-05
1.71793E-10,-3.10306E-05
1.79828E-10,-3.52941E-05
1.87864E-10,-3.98242E-05
1.959E-10,-4.46207E-05
2.03936E-10,-4.96837E-05
2.09293E-10,-5.33355E-05
2.1465E-10,-5.76347E-05
2.20007E-10,-6.25813E-05
2.25364E-10,-6.81752E-05
2.30721E-10,-7.44165E-05
2.36078E-10,-8.13051E-05
2.41436E-10,-8.88411E-05
2.46123E-10,-9.63802E-05
2.50811E-10,-0.000105215
2.55498E-10,-0.000115346
2.60186E-10,-0.000126772
2.64873E-10,-0.000139494
2.69561E-10,-0.000153511
2.74248E-10,-0.000168825
2.78936E-10,-0.000186163
2.83623E-10,-0.000204596
2.88311E-10,-0.000224123
2.92998E-10,-0.000244744
2.97686E-10,-0.000266459
3.02373E-10,-0.000289268
3.07061E-10,-0.000313172
3.13087E-10,-0.000344161
3.19114E-10,-0.000376519
3.25141E-10,-0.000410244
3.31168E-10,-0.000445339
3.37195E-10,-0.000481801
3.43221E-10,-0.000519632
3.49248E-10,-0.000558832
3.56782E-10,-0.000611104
3.64315E-10,-0.000668585
3.71849E-10,-0.000731276
3.79382E-10,-0.000799176
3.86916E-10,-0.000872286
3.94449E-10,-0.000950606
4.01983E-10,-0.001034135
4.03824E-10,-0.001056039
4.05666E-10,-0.001072725
4.07507E-10,-0.001084194
4.09349E-10,-0.001090445
